N,Title,Keywords,Abstract,Doi
3465,The impact of spinopelvic morphology on the short-term outcome of pedicle subtraction osteotomy in 104 patients,Aged; Female; Follow-Up Studies; Humans; Lumbar Vertebrae/diagnostic imaging/surgery; Male; Middle Aged; Osteotomy; Patient Reported Outcome Measures; Pelvis/diagnostic imaging; Retrospective Studies; Spinal Curvatures/diagnostic imaging/surgery; Thoracic Vertebrae/diagnostic imaging/surgery; ASD = adult spinal deformity; HRQOL = health-related quality of life; LL = lumbar lordosis; ODI = Oswestry Disability Index; PI = pelvic incidence; PSO = pedicle subtraction osteotomy; PT = pelvic tilt; SS = sacral slope; SVA = sagittal vertical axis; T1SPI = T-1 spinopelvic inclination; TK = thoracic kyphosis; VAS = visual analog scale; adult spine deformity; pedicle subtraction osteotomy; sagittal imbalance; spinopelvic parameters; surgical technique,"OBJECTIVE Pedicle subtraction osteotomy (PSO) is commonly performed for correction of spinal sagittal plane deformities. The PSO results in complex, multiple changes of the spinopelvic alignment. The influence of the variability of individual pelvic morphology has not been fully analyzed in previous outcome studies of sagittal imbalance. The aim of this study was to define radiological variables affecting the outcome after PSO in adult spinal deformities, with special emphasis on the variability of pelvic morphology. METHODS Clinical and radiographic outcomes were analyzed in a retrospective analysis of 104 patients who underwent a PSO at a single center. The radiographic variables studied were sagittal vertical axis (SVA), T1SPI (T-1 spinopelvic inclination), lumbar lordosis (LL), thoracic kyphosis (TK), pelvic incidence (PI), pelvic tilt (PT), and sacral slope (SS). To control for the individual variation of pelvic morphology, the LL/PI, PT/PI, and SS/PI ratios were calculated. Clinical outcome was assessed using the visual analog scale for pain, Oswestry Disability Index, and EQ-5D preoperatively and at a minimum 1-year follow-up. Correlation coefficients were calculated between each individual radiographic variable and the outcome measures. The importance of LL mismatch to TK, reflecting the importance of a harmonious spine, was analyzed by comparing the outcome of patients with a TK+LL+PI ≤ 45° to those with a sum > 45°. RESULTS SVA and T1SPI demonstrated the strongest correlation with the clinical outcome scores (r = 0.4-0.5, p < 0.001). LL correlated weakly with the clinical outcome (r = 0.2-0.3, p < 0.003). Mismatch of LL to PI, however, did not correlate significantly with the outcome. Similarly, only weak and inconsistent correlation was observed between PT, SS, PT/PI, SS/PI, and functional outcome. Patients with a TK+LL+PI ≤ 45° had a significantly lower ODI score (33 vs 44) and a significantly higher EQ-5D score (0.64 vs 0.40) than patients with a sum > 45° (LL is a negative value). CONCLUSIONS PSO resulted in a substantial correction of sagittal imbalance and improved outcome in most patients in this study. Correction of the global sagittal balance appears to be a necessary precondition for a good outcome. A harmonious spine with a TK and an LL of similar magnitude seems to add to a positive outcome",10.3171/2016.11.SPINE16601
4849,Measuring intangible cost-of-morbidity due to substance dependence: implications of using alternative preference-based instruments,Adolescent; Adult; Aged; Alcoholism/economics; Cost of Illness; Cost-Benefit Analysis; Female; Health Status Indicators; Humans; Male; Middle Aged; Morbidity; Psychometrics; Quality of Life; Substance-Related Disorders/economics; Young Adult; EQ-5D-5L; Intangible cost; Paired-gamble; SF-6D; Substance dependence,"OBJECTIVE: Drug and/or alcohol dependence (DAD) generates substantial costs to society. One of the main consequences of DAD is its negative impact on health-related quality of life (HRQoL). The main objective of this study is to analyse the impact of using EQ-5D-5L, SF-6D(SG) (SF-6D using standard-gamble as the preference-eliciting method) and SF-6D(PG) (SF-6D using a paired-gamble method), to estimate the HRQoL burden, attributable to DAD, within the cost-of-illness framework. METHODS: A convenience sample of 109 patients with a diagnosis of substance use disorder was recruited. SF-6D and EQ-5D-5L were administered and then the utility scores were computed. The impact of employing different instruments to estimate the HRQoL burden was assessed by comparing the utility scores of patients and general population after controlling for sex and age through regression analysis. The analysis was reproduced for two subgroups of severity. RESULTS: All instruments detect that DAD significantly affects the HRQoL. However, the estimated impact changes, according to the instrument used, whose pattern varies by severity group. Nonetheless, regardless of severity, SF-6D(PG) always estimates a higher or equal DAD burden than the other instruments considered. These results are compatible with the presence of the floor effect in SF-6D(SG), the ceiling effect in EQ-ED-5L, and a smaller presence of both biases in SF-6D(PG). CONCLUSIONS: The SF-6D(PG) instrument emerges as a good candidate to avoid under-estimating intangible costs within the cost-of-illness framework. However, further research is needed to assess the validity of our results in the context of other health problems",10.1007/s10198-020-01196-7
3963,Is guideline-adherent prescribing associated with quality of life in patients with type 2 diabetes?,"Aged; Aged, 80 and over; Cross-Sectional Studies; Diabetes Mellitus, Type 2/drug therapy; Female; Guideline Adherence; Humans; Hypoglycemic Agents/therapeutic use; Male; Middle Aged; Practice Patterns, Physicians'; Quality of Life","BACKGROUND: Guideline-adherent prescribing for treatment of multiple risk factors in type 2 diabetes (T2D) patients is expected to improve clinical outcomes However, the relationship to Health-Related Quality of Life (HRQoL) is not straightforward since guideline-adherent prescribing can increase medication burden. OBJECTIVES: To test whether guideline-adherent prescribing and disease-specific medication burden are associated with HRQoL in patients with T2D. METHODS: Cross-sectional study including 1,044 T2D patients from the e-VitaDM/ZODIAC study in 2012 in the Netherlands. Data from the diabetes visit, such as laboratory and physical examinations and prescribed medication, and from two HRQoL questionnaires, the EuroQol 5 Dimensions 3 Levels (EQ5D-3L) and the World Health Organization Well-Being Index (WHO-5) were collected. Twenty indicators assessing prescribing of recommended glucose lowering drugs, statins, antihypertensives and renin-angiotensin-aldosterone system (RAAS)-inhibitors and potentially inappropriate drugs from a validated diabetes indicator set were included. Disease-specific medication burden was assessed using a modified version of the Medication Regimen Complexity Index (MRCI). Associations were tested with regression models, adjusting for age, gender, diabetes duration, comorbidity, body mass index and smoking. RESULTS: The mean MRCI was 7.1, the median EQ5D-3L-score was 0.86 and the mean WHO-5 score was 72. Seven indicators included too few patients and were excluded from the analysis. The remaining thirteen indicators focusing on recommended start, intensification, current and preferred use of glucose lowering drugs, statins, antihypertensives, RAAS inhibitors, and on inappropriate prescribing of glibenclamide and dual RAAS blockade were not significantly associated with HRQoL. Finally, also the MRCI was not associated with HRQoL. CONCLUSIONS: We found no evidence for associations between guideline-adherent prescribing or disease-specific medication burden and HRQoL in T2D patients. This gives no rise to refrain from prescribing intensive treatment in T2D patients as recommended, but the interpretation of these results is limited by the cross-sectional study design and the selection of patients included in some indicators",10.1371/journal.pone.0202319
9953,US and UK versions of the EQ-5D preference weights: does choice of preference weights make a difference?,"Adult; Anti-HIV Agents/administration & dosage; CD4 Lymphocyte Count; Delavirdine/administration & dosage; Didanosine/administration & dosage; Double-Blind Method; Drug Therapy, Combination; Female; HIV Infections/drug therapy/ethnology/physiopathology/psychology; Humans; Male; Patient Satisfaction; Psychometrics/instrumentation; Quality of Life; Quality-Adjusted Life Years; Reverse Transcriptase Inhibitors; Sickness Impact Profile; United Kingdom; United States; Viral Load","BACKGROUND: Most US studies that estimate EQ-5D index score generally apply the UK preference weights. We compared the validity of a newly-developed US weights to the UK weights for use of EQ-5D as a measure of health-related quality of life. METHODS: Data were collected from a randomized clinical trial for patients with HIV (n = 1,126) in the US. Convergent validity was examined by comparing Pearson correlations of EQ-5D index scores with the MOS-HIV Health Survey scale scores and Physical and Mental Health Summary (PHS, MHS) scores using the US and UK weights. Known-groups validity of EQ-5D US versus UK index scores was compared using clinical variables (CD4+ cell count and HIV viral load), and the MOS-HIV PHS and MHS. Score changes in the EQ-5D index from baseline to week 50 were examined using effect size (ES) estimates. RESULTS: The mean EQ-5D index scores was slightly higher using US weights than UK weights (0.87 vs. 0.84, respectively). The correlation coefficient for EQ-5D utilities using the US and UK weights was 0.98. The correlations of EQ-5D index scores with the MOS-HIV scores were moderate and similar using the US and UK weights. The EQ-5D index scores discriminated equally well for both versions between levels of CD4+ count, HIV viral load, and PHS and MHS scores (P < 0.05), suggesting equivalent known-groups validity. The changes in EQ-5D index scores from baseline to week 50 were similar for both versions (ES: 0.21 vs. 0.22 for US and UK, respectively), suggesting equivalent responsiveness to score changes. CONCLUSIONS: EQ-5D index scores generated using UK and US preference weights showed equivalent psychometric properties. For assessing treatment benefit in a single population, the use of either the UK or US weights as a measure of HRQOL will not change inferences. However, for comparisons across US and UK populations, the choice between these two weights should be based on their relevance to the study population",10.1007/s11136-007-9206-4
3723,Effect of pain neuroscience education and exercise on presenteeism and pain intensity in health care workers: A randomized controlled trial,Adult; Aged; Exercise; Female; Health Personnel/psychology; Health Promotion/methods; Humans; Japan; Male; Middle Aged; Musculoskeletal Pain/prevention & control; Patient Education as Topic/methods; Presenteeism; Surveys and Questionnaires; Work Performance; Workplace; exercise; occupational rehabilitation; pain neuroscience education; presenteeism; randomized controlled trial,"OBJECTIVES: Decreased workforce productivity has a significant economic impact on healthcare systems. Presenteeism, the practice of working at reduced potential, is more harmful than absenteeism. Present workers most often experience musculoskeletal pain that is not mitigated by general exercise or stretching. We aimed to assess whether a regimen of pain neuroscience education (PNE) and exercise tailored to individual healthcare workers could reduce presenteeism and improve productivity. METHODS: An independent investigator randomized 104 medical professionals into two groups (intervention and control). The control group received general feedback after answering a questionnaire, while the intervention group received a 6-month plan of exercises and PNE created by a physical therapist with 10 years of experience. Our primary outcome was the scores of the Japanese version of the World Health Organization Health and Work Performance Questionnaire (WHO-HPQ) to investigate presenteeism; and our secondary outcomes were pain intensity, widespread pain index (WPI), and EuroQol 5-dimension (EQ5D-5L). RESULTS: In the intervention group, post intervention, we observed significant improvement in presenteeism, pain intensity, WPI, physical and psychological stress, and EQ5D-5L (P < .05). In the control group, we noted significant improvement only in the physical and psychological stress post intervention (P < .05). The results showed significant between-group differences in presenteeism post-intervention (P < .05). CONCLUSION: We demonstrated that a combination of PNE and exercise decreases presenteeism of healthcare workers. Our findings will help healthcare facilities carry out better employee management and ensure optimal productivity",10.1002/1348-9585.12277
7249,Patient-reported outcome measures (PROMs) following knee arthroplasty: a prospective cohort study protocol,"Arthroplasty, Replacement, Knee; Humans; Osteoarthritis, Knee/surgery; Patient Reported Outcome Measures; Prospective Studies; Quality of Life; Switzerland; Treatment Outcome; adult orthopaedics; knee; orthopaedic & trauma surgery","INTRODUCTION: To evaluate the quality of clinical practice, patient-reported outcome measures (PROMs) are important as certain questions could only be answered by the patient himself. PROMs help to get a better understanding what is meaningful to a patient and directly affects daily functioning. To move beyond traditional measures, we are interested in what matters to patients and developed this project. The aim of this article is to provide the protocol for our study collecting PROMs in daily medical practice from patients who undergo knee arthroplasty. METHODS AND ANALYSIS: This study is a single-site, observational, prospective cohort study. We will recruit patients scheduled for a knee arthroplasty in our medical office, situated in a private clinic. After signed informed consent, patients complete self-reported questionnaires before the surgery, after 4 months, 1 year, 2 years, 3 years, 4 years and 5 years. We will use the following PROMs: Knee injury and Osteoarthritis Outcome Score, Forgotten Joint Score, EuroQol five dimensions and satisfaction. Additionally, the surgeon will complete the objective Knee Society Score. Administration of the questionnaires will be electronically or paper-based. We will assess differences between preoperative and postoperative data with paired t-test for continuous variables and Wilcoxon signed-rank test for categorical variables. To assess subgroup differences, we will use unpaired t-test for continuous variables and Mann-Whitney U test for categorical variables. To assess possible presence of bias, we will conduct sensitivity analyses. ETHICS AND DISSEMINATION: The study has been reviewed and approved by the local ethics committee in Basel, Switzerland. Written informed consent will be obtained from all patients. We will disseminate the results of the study through peer-reviewed journals, national and international conference presentations and presentations to relevant stakeholders through appropriate channels",10.1136/bmjopen-2020-040811
1822,Treatment of Periprosthetic Joint Infection and Fracture-Related Infection With a Temporary Arthrodesis Made by PMMA-Coated Intramedullary Nails - Evaluation of Technique and Quality of Life in Implant-Free Interval,coated implants; fracture-related infection; periprosthetic joint infection; polymethyl methacrylate (PMMA); psychological outcomes; quality of life; temporary arthrodesis,"BACKGROUND: Antimicrobial coating of intramedullary nails with polymethyl methacrylate (PMMA) bone cement promises infection control and stabilization for subsequent bone healing. However, when removing the implant, bone cement can debond and remain in the medullary cavity of the long bones, representing a nidus for reinfection. This work presents a technique comprising reinforcement of PMMA-coated intramedullary nails with cerclage wire to prevent such problems in patients treated for fracture-related infection (FRI) or knee periprosthetic joint infection (PJI) with a static spacer as temporary arthrodesis allowing weight-bearing in the implant-free interval. Outcomes of this surgical treatment were evaluated in terms of (i) associated complications and (ii) patient-reported quality of life. METHODS: In this retrospective case series, 20 patients with PJI (n = 14, 70%) and FRI (n = 6, 30%) treated with PMMA-coated intramedullary nails reinforced with cerclage wire between January 2021 and July 2021 were included Quality of life during the implant-free interval was evaluated with the EQ-5D, SF-36, and an ICD-10 based psychological symptom rating and compared with previously analyzed cohorts of successfully treated PJI and FRI patients in whom eradication of infection and stable bone consolidation was achieved. RESULTS: Complications during the implant-free interval comprised a broken nail in one case (5.0%) and a reinfection in one case (5.0%). Coating-specific side effects and cement debonding during removal did not occur. The mean physical health component score of SF-36 was 26.1 ± 7.6, and the mean mental health component score reached a value of 47.1 ± 18.6. The mean EQ-5D index value was 0.36 ± 0.32 and the mean EQ-5D visual analogue scale rating was 47.4 ± 19.4. The scores were significantly lower than those in the successfully treated FRI cohort but not in the PJI cohort. The mean ICD-10-based symptom rating scores revealed psychological symptom burden on the depression scale and enhanced levels of anxiety in comparison with healed FRI and PJI patients. CONCLUSION: Reinforcement of PMMA bone cement-coated implants seems to be a reasonable treatment option to create a temporary arthrodesis, preventing detachment of the bone cement when the implant was removed.Level of Evidence: IV",10.3389/fsurg.2022.917696
9365,Patient-Reported Outcomes with PD-1/PD-L1 Inhibitors for Advanced Cancer: A Meta-Analysis,Female; Humans; Immunotherapy/methods; Male; Patient Reported Outcome Measures; Programmed Cell Death 1 Receptor/therapeutic use; Health‐related quality of life; Meta‐analysis; PD‐1/PD‐L1 inhibitor; Patient‐reported outcomes; Symptoms,"BACKGROUND: The aim of this meta-analysis was to compare patient-reported outcomes (PROs) between programmed death receptor-1/programmed death-ligand 1 (PD-1/PD-L1) inhibitors and standard-of-care therapy in patients with advanced cancer. METHODS: We searched randomized controlled trials (RCTs) comparing single-agent PD-1/PD-L1 inhibitors (nivolumab, pembrolizumab, atezolizumab, avelumab, or durvalumab) with standard-of-care therapy in patients with advanced cancer reporting PROs with generic measures: the European Organisation for Research and Treatment of Cancer Quality of Life Questionnaire Core 30 items (QLQ-C30) and the EuroQol Five Dimensions Questionnaire. The summary outcomes were changes in PROs from baseline to follow-up within and between treatment groups and time to deterioration (TTD) in PROs based on clinically meaningful change. RESULTS: A total of 6,334 patients from 13 RCTs were included: six nivolumab, five pembrolizumab, and two atezolizumab trials. For the QLQ-C30 global health status/quality of life, the pooled difference in mean change between treatment groups was 5.1 (95% confidence interval [CI], 3.3-6.9; p < .001) favoring PD-1/PD-L1 inhibitors. The pooled mean change from baseline in PD-1/PD-L1 inhibitors and controls was 0.1 (95% CI, -2.2, 2.5) and - 6.1 (95% CI, -8.4, -3.8), respectively. The TTD was significantly longer with PD-1/PD-L1 inhibitors, with a hazard ratio of 0.72 (95% CI, 0.55-0.93; p = .011). Similarly, significantly better outcomes were noted with PD-1/PD-L1 inhibitors on most of the other PRO measures. CONCLUSION: PD1/PD-L1 inhibitors maintained health-related quality of life to a greater degree and had less worsening in symptoms than standard-of-care therapy even though patients on these immune modulators were on treatment longer. The better PRO profile further supports the clinical benefit of this treatment strategy for advanced cancer. IMPLICATIONS FOR PRACTICE: We conducted a systematic review and meta-analysis to compare patient-reported outcomes (PROs) of programmed death receptor-1/programmed death-ligand 1 (PD-1/PD-L1) inhibitors and standard-of-care therapy in patients with advanced cancer. PD-1/PD-L1 inhibitors were associated with consistently smaller PRO score deterioration from baseline to follow-up for different health-related quality-of-life and symptoms scales. In addition, the time to deterioration in multiple PRO domains was significantly longer with PD-1/PD-L1 inhibitors. Taken together, these findings indicate that the patients treated with PD-1/PD-L1 inhibitors maintained health-related quality of life to a greater degree and had less symptom burden compared with those treated with standard-of-care therapy",10.1634/theoncologist.2018-0449
6409,Long-term outcomes of dexamethasone 12 mg versus 6 mg in patients with COVID-19 and severe hypoxaemia,"Adult; COVID-19/complications/drug therapy; Dexamethasone/administration & dosage; Dose-Response Relationship, Drug; Humans; Hypoxia/complications/drug therapy; Patient Acuity; Quality of Life; Surveys and Questionnaires; Treatment Outcome; COVID-19; Corticosteroids; Critical illness; Hypoxaemia; Mortality; Quality of life","PURPOSE: We assessed long-term outcomes of dexamethasone 12 mg versus 6 mg given daily for up to 10 days in patients with coronavirus disease 2019 (COVID-19) and severe hypoxaemia. METHODS: We assessed 180-day mortality and health-related quality of life (HRQoL) using EuroQoL (EQ)-5D-5L index values and EQ visual analogue scale (VAS) in the international, stratified, blinded COVID STEROID 2 trial, which randomised 1000 adults with confirmed COVID-19 receiving at least 10 L/min of oxygen or mechanical ventilation in 26 hospitals in Europe and India. In the HRQoL analyses, higher values indicated better outcomes, and deceased patients were given a score of zero. RESULTS: We obtained vital status at 180 days for 963 of 982 patients (98.1%) in the intention-to-treat population, EQ-5D-5L index value data for 922 (93.9%) and EQ VAS data for 924 (94.1%). At 180 days, 164 of 486 patients (33.7%) had died in the 12 mg group versus 184 of 477 (38.6%) in the 6 mg group [adjusted risk difference - 4.3%; 99% confidence interval (CI) - 11.7-3.0; relative risk 0.89; 0.72-1.09; P = 0.13]. The adjusted mean differences between the 12 mg and the 6 mg groups in EQ-5D-5L index values were 0.06 (99% CI - 0.01 to 0.12; P = 0.10) and in EQ VAS scores 4 (- 3 to 10; P = 0.22). CONCLUSION: Among patients with COVID-19 and severe hypoxaemia, dexamethasone 12 mg compared with 6 mg did not result in statistically significant improvements in mortality or HRQoL at 180 days, but the results were most compatible with benefit from the higher dose",10.1007/s00134-022-06677-2
7929,Use of conservative therapy before and after surgery for carpal tunnel syndrome,Carpal Tunnel Syndrome/surgery; Conservative Treatment; Female; Humans; Male; Middle Aged; Pain Measurement; Retrospective Studies; Surveys and Questionnaires; Treatment Outcome; Carpal tunnel release; Carpal tunnel syndrome; Conservative therapy; Rehabilitation,"BACKGROUND: Conservative therapies are typically offered to individuals who experience mild or intermittent symptoms of carpal tunnel syndrome (CTS) or postoperatively to subjects who have undergone carpal tunnel release. Although long-term studies report mostly positive results for carpal tunnel release, knowledge on the need for conservative treatments following surgery is scarce The aim of this retrospective cohort study was to examine the use of conservative therapies before and after carpal tunnel releasing surgery. METHODS: Of 528 patients who underwent carpal tunnel release surgery in the study hospital during the study period, 259 provided sufficiently completed questionnaires (response rate 49 %). The patients completed a questionnaire battery including a sociodemographic, medical history and symptom questionnaire, the Boston Carpal Tunnel Syndrome Questionnaire, 6-item CTS symptoms scale and EuroQoL 5D Frequencies of conservative therapies pre- and postoperatively were calculated Association between Pain VAS and satisfaction with treatment were examined in patient groups according to the use of conservative therapies. RESULTS: Of all patients, 41 (16 %) reported receiving only preoperative, 18 (7 %) reported receiving only postoperative, 157 (60 %) reported receiving both pre- and postoperative conservative therapies and 43 (17 %) did not receive any therapies Preoperative use of conservative therapies was more common in females than males (82 % vs. 64 %; p = 0.002), but postoperatively no significant gender difference was observed. The patients who received conservative therapies were younger than non-users in both the preoperative (median age 59 vs. 66; p < 0.001) and postoperative (59 vs. 66; p = 0.04) phases. The patients reported high satisfaction with their treatment and simultaneous improvement in Pain VAS scores. Those receiving conservative therapies only preoperatively reported the highest satisfaction. CONCLUSIONS: While the use of conservative therapies decreased after surgery, a large proportion of the patients received these adjunct interventions. Patients reported high satisfaction with their treatment one year post surgery. Pain outcome seems to be closely related to satisfaction with treatment. LEVEL OF EVIDENCE: Level III",10.1186/s12891-021-04378-3
12081,Utility of spine surgery: a comparison of common elective orthopaedic surgical procedures,"Adolescent; Adult; Aged; Aged, 80 and over; Cohort Studies; Diagnosis, Differential; Elective Surgical Procedures/statistics & numerical data; Female; Follow-Up Studies; Humans; Longitudinal Studies; Low Back Pain/diagnosis/psychology/surgery; Male; Middle Aged; Orthopedic Procedures/statistics & numerical data; Prospective Studies; Quality of Life/psychology; Spinal Diseases/diagnosis/psychology/surgery; Young Adult","STUDY DESIGN: A 1-year prospective observational cohort study. OBJECTIVE: To compare the utility before and 1 year after elective spine surgery with some other common orthopaedic surgical procedures. SUMMARY OF BACKGROUND DATA: By using global measures like EQ-5D and SF-36 for the determination of the utility, the changes in quality of life, quality of life (QoL) after an intervention different diagnoses, and treatments can be compared. Total hip replacement (THR) has become almost golden standard in this respect. METHODS: Seven hundred seventy-seven subjects with different common orthopaedic diagnoses scheduled for elective surgery were just before surgery and 1 year after surgery answering both EQ-5D and SF-36. Four groups with different spine diagnoses and procedures were formed and compared with 8 other diagnoses and treatment groups. RESULTS: Before surgery, subjects with spine diagnoses reported the lowest QoL of all diagnoses compared. Surgery for spinal stenosis, spondylolisthesis, and instability meant the largest improvement of all surgical interventions. Surgery for NHP gave a moderately good improvement, whereas surgery for CLBP only marginally improved those operated. Particularly THR but also TKR more or less completely normalized QoL but made it from a relatively high preoperative level. The greatest improvements after spine surgery, other surgical procedures, and different diagnoses were in the pain/discomfort domain. CONCLUSION: Spinal surgery in spinal stenosis, spondylolisthesis, and instability had in comparison to other types of elective orthopaedic surgery an outstanding better ability to improve the operated subject's health-related quality of life than other types of elective orthopaedic surgery. The utility of HNP surgery was somewhat lower and was rather marginal for those operated for nonspecific CLBP",10.1097/BRS.0b013e31818e2914
4323,Arthroscopic removal of osteoid osteoma with gamma probe assistance in the hip joint,"Adolescent; Adult; Arthroscopy/methods; Bone Neoplasms/diagnosis/radiotherapy/surgery; Child; Female; Gamma Rays/therapeutic use; Hip Joint/diagnostic imaging/radiation effects/surgery; Humans; Magnetic Resonance Imaging; Male; Osteoma, Osteoid/diagnosis/radiotherapy/surgery; Quality of Life; Single Photon Emission Computed Tomography Computed Tomography; Young Adult; Gamma probe; hip arthroscopy; osteoid osteoma","AIM: The aim was to present the surgical technique and clinical outcome in a series of patients treated with gamma-probe-assisted arthroscopic removal of osteoid osteoma in the hip joint. METHODS: The case series consisted of 10 patients diagnosed with osteoid osteoma of the hip, who were treated by arthroscopic nidus removal. An endoscopic gamma probe was used intraoperatively to locate the nidus and to control the extent of its removal. Residual osteoma cavities were additionally treated with an arthroscopic radiofrequency ablator Microfracturing was performed when the osteochondral defect was in the weight-bearing area and osteochondroplasty was done in cases of concomitant cam deformity. Nonarthritic Hip Score (NAHS), Tegner activity score, quality of life questionnaire (EQ-5D) and postoperative magnetic resonance imaging (MRI) were used for evaluation before and post-surgery, with a minimum follow-up of 2 years RESULTS: The relative reduction of the gamma irradiation count immediately after removal of the nidus was 44.9% (range 33.3-54.5%). Postoperatively, all patients experienced prompt pain relief and a significant improvement according to all patient reported outcomes. Control MRI revealed fibro-cartilaginous tissue repair of post-osteoma osteochondral defects in the weight-bearing area; 1 patient showed signs of early degeneration. CONCLUSIONS: The results of this case series demonstrated the safety and high efficacy of gamma-probe-assisted arthroscopic removal of the osteoid osteoma from the hip joint. Endoscopic gamma probe was recognised as a very useful device for locating the nidus of the osteoid osteoma exactly and preventing incomplete or excessive removal of the bone",10.1177/1120700018782274
9066,Profiling the mental health of diabetic patients: a cross-sectional survey of Zimbabwean patients,"Adult; Aged; Comorbidity; Cross-Sectional Studies; Diabetes Mellitus/epidemiology; Diabetes Mellitus, Type 2/epidemiology; Female; Humans; Male; Mental Disorders/epidemiology; Middle Aged; Quality of Life; Social Support; Socioeconomic Factors; Zimbabwe; Diabetes; Mental health; Quality of life; Social support; Zimbabwe","OBJECTIVE: The burden of diabetes mellitus has exponentially increased in low resource settings. Patients with diabetes are more likely to exhibit poor mental health which negatively affects treatment outcomes. However, patients with high levels of social support (SS) are likely to report optimal mental health. We sought to determine how SS affects the report of psychiatric morbidity and health-related quality of life (HRQoL) in 108 diabetic patients in Harare, Zimbabwe. RESULTS: The average age of participants was 54.1 (SD 18.6) years. Most of the participants were; females (69.4%), married (51.9%), and were of low level of income (43.5%). 37.1% of the participants exhibited signs of psychiatric morbidity [mean Shona Symptoms Questionnaire score-6.7 (SD 3.2)]. Further, patients also reported lower HRQoL [mean EQ-5D-VAS score-64.1 (SD 15.3)] and high levels of SS [mean Multidimensional Scale of Perceived Social Support score-43.7 (SD 11.5)]. Patients who received greater amount of SS had optimal mental health Being female, unmarried, lower education attainment, having more comorbid conditions, being diagnosed with type 2 diabetes and having been diagnosed of diabetes for a longer duration were associated with poorer mental health. It is important to develop context-specific interventions to improve diabetic patients' mental health",10.1186/s13104-018-3881-9
6006,"InSpace Implant Compared with Partial Repair for the Treatment of Full-Thickness Massive Rotator Cuff Tears: A Multicenter, Single-Blinded, Randomized Controlled Trial","Arthroscopy; Humans; Pain; Range of Motion, Articular; Retrospective Studies; Rotator Cuff Injuries/surgery; Treatment Outcome","BACKGROUND: The purpose of this study was to prospectively evaluate the efficacy and safety of a subacromial balloon spacer (InSpace implant; Stryker) compared with arthroscopic partial repair in patients with irreparable, posterosuperior massive rotator cuff tears. METHODS: Patients ≥40 years of age with symptomatic, irreparable, posterosuperior, massive rotator cuff tears and an intact subscapularis who underwent failed nonoperative management were included in this randomized controlled trial comparing the InSpace implant with partial repair Clinical outcome data were collected at baseline through a 24-month follow-up The primary outcome was improvement in the American Shoulder and Elbow Surgeons (ASES) scores. The secondary outcomes included change from baseline in the Western Ontario Rotator Cuff (WORC) score, the visual analog scale (VAS) pain score, the Constant-Murley shoulder score, the EuroQol-5 Dimensions-5-Level (EQ-5D-5L) score, active range of motion, and operative time. Complications and reoperations for each group were also recorded. RESULTS: Twenty sites randomized 184 patients: 93 in the InSpace group and 91 in the partial repair group Significant and clinically relevant improvements in the ASES score from baseline were noted in both groups at Month 12 and were maintained at Month 24. Overall, 83% of patients in the InSpace group and 81% of patients in the partial repair group achieved the ASES minimally clinically important difference threshold, and 82% of patients in the InSpace group and 79% of patients in the partial repair group achieved the substantial clinical benefit threshold. Forward elevation was significantly greater in the InSpace group compared with the partial repair group at Day 10 (p = 0.04), Week 6 (p = 0.0001), Month 12 (p = 0.005), and Month 24 (p = 0.003). The operative time was significantly shorter in the InSpace group (p < 0.0001). No device-related surgical complications were noted, and 4 reoperations after InSpace implantation and 3 reoperations after partial repair were required CONCLUSIONS: The InSpace implant is an appropriate alternative to partial repair in patients with irreparable posterosuperior massive rotator cuff tears and an intact subscapularis. Notable benefits include early functional recovery and pain relief combined with a shorter operative time. LEVEL OF EVIDENCE: Therapeutic Level I . See Instructions for Authors for a complete description of levels of evidence",10.2106/JBJS.21.00667
12526,Quality of life in patients with ileal conduit cystectomy due to bladder cancer,"Aged; Aged, 80 and over; Cystectomy; Female; Humans; Male; Middle Aged; Quality of Life; Surveys and Questionnaires; Urinary Bladder Neoplasms/surgery; Urinary Diversion; Calidad de vida; Cistectomía; Conducto ileal; Cystectomy; EuroQol 5-D-3L; Ileal conduit; Quality of life","OBJECTIVE: To determine the variables that affect quality of life of patients treated by radical cystectomy with ileal conduit. MATERIAL AND METHOD: We analyzed quality of life using the EQ-5D-3L questionnaire. This questionnaire evaluates mobility, personal care, daily activities, pain/discomfort, anxiety/depression and a self-rating scale of the health condition. We compared the result with demographic variables (gender, age, work situation, studies, income, partner) and clinical variables (ASA classification, tumor stage, time since cystectomy was performed, adjuvant chemotherapy, recurrent and complications of the stoma). The statistical analysis included a descriptive study, univariate and multivariate analysis. RESULTS: A total of 59 patients were included in the study, with a mean age of 69 years (47-84). Mean time from cystectomy was 43 months (12-83), with 61% complications associated to the stoma Stoma complications were related with limitations in personal care, pain/discomfort, anxiety, depression and quality of life in general. Female gender was associated with limitations in daily activities and adjuvant chemotherapy with anxiety/depression and quality of life in general. The rest of the variables were not statistically significant in the multivariate analysis CONCLUSIONS: The limitations in quality of life in patients with cystectomy and ileal conduit are associated with the stoma-associated complications. Other related variables are female gender and administration of adjuvant chemotherapy",10.1016/j.acuro.2013.04.006
