N,Title,Keywords,Abstract,Doi,Label
8506,Effectiveness of rehabilitation after a total hip arthroplasty: a protocol for an observational study for the comparison of usual care in the Netherlands versus Germany,"Adolescent; Adult; Aged; Arthroplasty, Replacement, Hip/economics/rehabilitation; Cost-Benefit Analysis; Female; Germany; Humans; Length of Stay/economics; Male; Middle Aged; Netherlands; Osteoarthritis, Hip/surgery; Patient Satisfaction; Prospective Studies; Quality of Life; Research Design; Surveys and Questionnaires; Treatment Outcome; Young Adult; medical rehabilitation; total hip arthroplasty; usual care comparison","INTRODUCTION: Osteoarthritis is the most common joint disorder worldwide. Total hip arthroplasty (THA) is considered one of the most effective treatments for end-stage hip osteoarthritis. The number of THAs is expected to increase dramatically in the coming decades. Usual postoperative rehabilitation after primary THA differs between the German and the Dutch system. In the Netherlands, patients undergo fast-track surgery and are discharged into their home environment within a few days without receiving any aftercare. In Germany, patients stay in the hospital for about 12 days before being transferred to a rehabilitation centre for a period of 3 weeks. The superficially more cost-effective Dutch system of usual care after THA is judged critically in both countries due to suboptimal rehabilitation outcomes. The aim of this study is therefore to compare the Dutch with the German usual care rehabilitation after primary THA. It is hypothesised that the German procedure is more effective in terms of functional outcomes and patient satisfaction than the Dutch procedure and that in the long run the German approach is more cost-effective than the Dutch system. METHODS AND ANALYSIS: Medical effectiveness will be assessed at four different time points by means of patient self-reported questionnaires and functional tests. Assessments include the Hip disability and Osteoarthritis Outcome Score, Patient Acceptable Symptom State, Short Form 36, EuroQol 5 Dimensions 3 Level Questionnaire, Timed Up & Go Test and Five Times Sit-to-Stand Test. Additionally, long-term economic aspects in both countries will be assessed from a societal perspective, to get a first impression on whether cutting costs for rehabilitation, as practised in the Netherlands, really disburdens the healthcare system efficiently. ETHICS AND DISSEMINATION: The study is approved by the Institutional Review Boards of both University Medical Center Groningen (METc2015/483) and Hannover Medical School (no 2874-2015) and will be conducted according to the principles of the Declaration of Helsinki (64th, 2013). The results of the study will be published in international peer-reviewed scientific journals. Patient data will be presented anonymously in any publication or scientific journal. TRIAL REGISTRATION NUMBER: DRKS00011345; Pre-results",10.1136/bmjopen-2017-016020,0
8826,Chronic low back pain and the risk of depression or anxiety symptoms: insights from a longitudinal twin study,"Adult; Depression/epidemiology/etiology/genetics; Female; Humans; Low Back Pain/complications/epidemiology/genetics; Male; Middle Aged; Twins, Dizygotic; Twins, Monozygotic; Anxiety; Chronic low back pain; Depression; Epidemiology; Genetics; Twins","BACKGROUND CONTEXT: Pain is commonly associated with symptoms of depression or anxiety, although this relationship is considered bidirectional. There is limited knowledge regarding causal relationships. PURPOSE: This study aims to investigate whether chronic low back pain (LBP) increases the risk of depression or anxiety symptoms, after adjusting for shared familial factors. STUDY DESIGN: This is a longitudinal, genetically informative study design from the Murcia Twin Registry in Spain. PATIENT SAMPLE: The patient sample included 1,269 adult twins with a mean age of 53 years. OUTCOME MEASURES: The outcome of depression or anxiety symptoms was evaluated with EuroQol questionnaire. METHODS: Using logistic regression analyses, twins were initially assessed as individuals in the total sample analysis, followed by a co-twin case-control, which was partially (dizygotic [DZ] twins) and fully (monozygotic [MZ] twins) adjusted for shared familial factors. There was no external funding for this study and no conflict of interest was declared. RESULTS: There was a significant association between chronic LBP and the risk of depression or anxiety symptoms in the unadjusted total sample analysis (odds ratio [OR]: 1.81, 95% confidence interval [CI]: 1.34-2.44). After adjusting for confounders, the association remained significant (OR: 1.43, 95% CI: 1.05-1.95), although the adjusted co-twin case-control was non-significant in DZ (OR: 1.03, 95% CI: 0.50-2.13) and MZ twins (OR: 1.86, 95% CI: 0.63-5.51). CONCLUSIONS: The relationship between chronic LBP and the future development of depression or anxiety symptoms is not causal. The relationship is likely to be explained by confounding from shared familial factors, given the non-statistically significant associations in the co-twin case-control analyses",10.1016/j.spinee.2017.02.009,0
8829,Functional recovery after treatment of extra-articular distal radius fractures in the elderly using the IlluminOss® System (IO-Wrist); a multicenter prospective observational study,"Fracture Fixation, Intramedullary/instrumentation; Humans; Minimally Invasive Surgical Procedures/instrumentation; Patient Reported Outcome Measures; Prospective Studies; Radius Fractures/surgery; Recovery of Function; Research Design; Wrist Injuries/surgery; Costs; Distal radius fracture; Elderly; Extra-articular; Fracture; Intramedullary; Outcome","BACKGROUND: Approximately 17 % of all fractures involve the distal radius Two-thirds require reduction due to displacement. High redislocation rates and functional disability remain a significant problem after non-operative treatment, with up to 30 % of patients suffering long-term functional restrictions. Whether operative correction is superior to non-operative treatment with respect to functional outcome has not unequivocally been confirmed. The IlluminOss® System was introduced in 2009 as a novel, patient-specific, and minimally invasive intramedullary fracture fixation. This minimally invasive technique has a much lower risk of iatrogenic soft tissue complications. Because IlluminOss® allows for early mobilization, it may theoretically lead to earlier functional recovery and ADL independence than non-operative immobilization. The main aim of this study is to examine outcome in elderly patients who sustained a unilateral, displaced, extra-articular distal radius fracture that was treated with IlluminOss®. METHODS/DESIGN: The design of the study will be a multicenter, prospective, observational study (case series). The study population comprises elderly (60 years or older; independent in activities of daily living) with a unilateral, displaced, extra-articular distal radius fracture (AO/OTA type 23-A2 and A3) that after successful closed reduction was fixed within 2 weeks after the injury with IlluminOss®. Critical elements of treatment will be registered, and outcome will be monitored until 1 year after surgery. The Disabilities of the Arm, Shoulder, and Hand score will serve as primary outcome measure. The Patient-Rated Wrist Evaluation score, level of pain, health-related quality of life (Short Form-36 and EuroQoL-5D), time to ADL independence, time to activities/work resumption, range of motion of the wrist, radiological outcome, and complications are secondary outcome measures. Health care consumption and lost productivity will be used for a cost analysis. The cost analysis will be performed from a societal perspective. Descriptive data will be reported DISCUSSION: The results of this study will provide evidence on the effectiveness of operative treatment of patients who sustained an extra-articular distal radius fracture with the IlluminOss® System, using clinical, patient-reported, and societal outcomes. TRIAL REGISTRATION: The study is registered at the Netherlands Trial Register ( NTR5457 ; 29-sep-2015)",10.1186/s12891-016-1077-9,0
8882,Sativex® (nabiximols) cannabinoid oromucosal spray in patients with resistant multiple sclerosis spasticity: the Belgian experience,Belgium; Cannabidiol/therapeutic use; Cannabinoids/therapeutic use; Dronabinol/therapeutic use; Drug Administration Schedule; Drug Combinations; Humans; Multiple Sclerosis/complications/pathology; Muscle Spasticity/drug therapy/etiology/pathology; Oral Sprays; Patient Reported Outcome Measures; Plant Extracts/therapeutic use; Quality of Life; Retrospective Studies; Severity of Illness Index; Cannabinoid oromucosal spray; Multiple sclerosis spasticity; Observational study; Treatment effect; Treatment satisfaction,"BACKGROUND: This retrospective study evaluates patient-reported outcomes in patients with multiple sclerosis (MS) spasticity who were treated with a cannabinoid oromucosal spray (Sativex®, USAN name: nabiximols) after not sufficiently responding to previous anti-spasticity medications. METHODS: Of 276 patients from eight centers in Belgium who began treatment prior to 31 December 2017, effectiveness assessment data were available for 238 patients during the test period of 4 to 8/12 weeks, and for smaller patient cohorts with continued treatment for 6/12 months. RESULTS: Mean 0-10 spasticity Numerical Rating Scale (NRS) scores improved from 8.1 at baseline to 5.2 (week 4), 4.6 (week 8) and 4.1 (week 12). Mean EuroQoL Visual Analogue Scale (EQ VAS) scores increased from 39 at baseline to 52 (week 4), 57 (week 8) and 59 (week 12). Mean NRS and EQ VAS scores remained in the same 12 weeks' range in patients with longer-term data The average dose of cannabinoid oromucosal spray was 6 sprays/day. Most of the 93 out of 276 patients, with initial prescription (33.7%), who discontinued treatment by week 12 did so within the first 8 weeks, mainly due to lack of effectiveness. By week 12, 171 (74%) of the 230 effectiveness evaluable patients reported a clinically meaningful response, corresponding to ≥30% NRS improvement The tolerability of cannabinoid oromucosal spray was consistent with its known safety profile. CONCLUSIONS: More than 60% of the patients with MS who started add-on treatment with cannabinoid oromucosal spray reported a clinically relevant symptomatic effect and continued treatment after 12 weeks",10.1186/s12883-021-02246-0,0
9051,The Mental Health Quality of Life Questionnaire (MHQoL): development and first psychometric evaluation of a new measure to assess quality of life in people with mental health problems,Humans; Mental Health; Psychometrics; Quality of Life/psychology; Reproducibility of Results; Surveys and Questionnaires; Development; MHQoL; Mental health; Preference based measures; Psychometric evaluation; Quality of life,"PURPOSE: The purpose of this study was to develop and psychometrically evaluate a new quality of life measure for use in people with mental health problems-the Mental Health Quality of Life questionnaire (MHQoL). METHODS: The MHQoL dimensions were based on prior research by Connell and colleagues, highlighting the seven most important quality of life dimensions in the context of mental health. Items were generated following a systematic review we performed and through inviting expert opinion. A focus group and an online qualitative study (N = 120) were carried out to assess the face and content validity of the MHQoL The MHQoL was further tested for its internal consistency, convergent validity, known-group validity and test-retest reliability among mental healthcare service users (N = 479) and members of the general population (N = 110). RESULTS: The MHQoL consists of a descriptive system (MHQoL-7D), including s items covering seven dimensions (self-image, independence, mood, relationships, daily activities, physical health, future) and a visual analogue scale of general psychological well-being (MHQoL-VAS). Internal consistency was high (Cronbach's ∝ = 0.85) and correlations between MHQoL-7D scores and related measures (EQ-5D-5L, MANSA, ICECAP-A, and BSI) supported convergent validity. The intraclass correlation coefficient of the MHQoL-7D sum score for test-retest reliability was 0.85. Known-group validity was supported by the ability to detect significant differences in MHQoL-7D levels between service users and the general population, and between groups with different levels of psychological distress CONCLUSION: The MHQoL demonstrated favourable psychometric properties and showed promise as a simple and effective measure to assess quality of life in people with mental health problems",10.1007/s11136-021-02935-w,0
9080,Long-Term Efficacy of a Novel Spinal Cord Stimulation Clinical Workflow Using Kilohertz Stimulation: Twelve-Month Results From the Vectors Study,Chronic Pain/therapy; Humans; Pain Measurement; Quality of Life; Spinal Cord; Spinal Cord Stimulation; Treatment Outcome; Workflow; Chronic neuropathic pain; functional outcomes; high-frequency stimulation; pain relief; prospective,"BACKGROUND AND OBJECTIVES: Multiple variables play a role in spinal cord stimulation (SCS) treatment outcomes, including patient anatomy, pain pattern, lead location, stimulation parameters, and so on. A wide range of stimulation parameters are considered safe and on-label, and as a result a growing number of new frequencies and frequency-combinations are being incorporated into standard practice. A standardized approach to therapy delivery may provide more consistent outcomes for more patients. The Vectors study evaluated whether there is significant sustained improvement in pain and functional outcomes when therapy is delivered using a standardized approach. MATERIALS AND METHODS: Vectors, a post-market, single-arm study evaluated the safety and efficacy of SCS with an implantable neurostimulator starting with 1 kHz stimulation, targeting the T9-T10 disc space following paresthesia mapping. Subjects with chronic intractable low back and leg pain (visual analogue scale [VAS] ≥ 50 mm) were enrolled. The primary endpoint was change in overall pain (VAS) at the three-month visit compared to baseline. Subjects were followed through 12 months. Secondary endpoints included changes in low back and leg pain, quality of life (European Quality of Life - Five Dimensions, EQ-5D-5L), disability (Oswestry Disability Index, ODI), individual subject goals, and subject satisfaction. RESULTS: There was a significant reduction in overall pain (VAS; 45.4 mm) through the three-month visit, which was sustained through 12 months. At 12 months, 79% of subjects had ≥50% improvement in at least one pain domain (overall, lowback or leg) with 85% of subjects reporting therapy satisfaction. There was a decrease in disability and an improvement in quality of life with 70% of subjects achieving a personal activity goal by the three-month visit. CONCLUSIONS: Long-term pain relief and improvement in quality of life and function were achieved when following a standardized workflow. CLINICAL TRIAL REGISTRATION: The Clinicaltrials.gov registration number for the study is NCT03345472",10.1111/ner.13324,1
9104,"Loneliness, social isolation, and pain following the COVID-19 outbreak: data from a nationwide internet survey in Japan",Adolescent; Adult; Aged; COVID-19/epidemiology/psychology; Chronic Pain/epidemiology; Disease Outbreaks; Female; Humans; Incidence; Internet; Japan/epidemiology; Loneliness; Male; Middle Aged; Pain/epidemiology/psychology; Prevalence; Social Isolation; Surveys and Questionnaires; Young Adult,"The aim of cross-sectional study was to investigate the association between loneliness, increased social isolation, and pain following the COVID-19 outbreak A total of 25,482 participants, aged 15-79 years, were assessed using an internet survey; the University of California, Los Angeles Loneliness Scale (Version 3), Short Form 3-item (UCLA-LS3-SF3) was used to assess loneliness, and a modified item of the UCLA-LS3-SF3 was used to measure the perception of increased social isolation during the pandemic. The outcome measures included the prevalence/incidence of pain (i.e., headache, neck or shoulder pain, upper limb pain, low back pain, and leg pain), pain intensity, and the prevalence of past/present chronic pain. Pain intensity was measured by the pain/discomfort item of the 5-level version of the EuroQol 5 Dimension scale. Odds ratios of pain prevalence/incidence and past/present chronic pain prevalence according to the UCLA-LS3-SF3 scoring groups (tertiles) and the frequency of the perceived increase in social isolation (categories 1-5) were calculated using multinomial logistic regression analysis. The mean pain intensity values among different loneliness and social isolation levels were tested using an analysis of covariance. Increased loneliness and the severity of the perceived social isolation were positively associated with the prevalence/incidence of pain, pain intensity, and the prevalence of past/present chronic pain",10.1038/s41598-021-97136-3,0
9394,Epidemiology and associated factors of polypharmacy in older patients in primary care: a northern Italian cross-sectional study,"Aged; Aged, 80 and over; Cross-Sectional Studies; Humans; Inappropriate Prescribing; Italy/epidemiology; Polypharmacy; Potentially Inappropriate Medication List; Primary Health Care; Quality of Life; Drug interactions; General practice; Inappropriate prescribing; Older adults; Polypharmacy","BACKGROUND: A precondition for developing strategies to reduce polypharmacy and its well-known harmful consequences is to study its epidemiology and associated factors. The objective of this study was to analyse the prevalence of polypharmacy (defined as ≥8 prescribed drugs), of potentially inappropriate medications (PIMs) and major drug-drug interactions (DDIs) among community-dwelling general practice patients aged ≥75 years and to identify characteristics being associated with polypharmacy. METHODS: This cross-sectional study is derived from baseline data (patients' demographic/biometric characteristics, diagnoses, medication-related data, cognitive/affective status, quality of life) of a northern-Italian cluster-RCT. PIMs and DDIs were assessed using the 2012 Beers criteria and the Lexi-Interact® database. Data were analysed using descriptive methods, Wilcoxon rank-sum tests, Fisher's exact tests and Spearman correlations. RESULTS: Of the eligible patients aged 75+, 13.4% were on therapy with ≥8 drugs. Forty-three general practitioners and 579 patients participated in the study. Forty five point nine percent of patients were treated with ≥1 Beers-listed drugs. The most frequent PIMs were benzodiazepines/hypnotics (19.7% of patients) and NSAIDs (6.6%). Sixty seven point five percent of patients were exposed to ≥1 major DDI, 35.2% to ≥2 major DDIs Antithrombotic/anticoagulant medications (30.4%) and antidepressants/antipsychotics (23.1%) were the most frequently interacting drugs. Polypharmacy was significantly associated with a higher number of major DDIs (Spearman's rho 0.33, p < 0.001) and chronic conditions (Spearman's rho 0.20, p < 0.001), higher 5-GDS scores (thus, lower affective status) (Spearman's rho 0.12, p = 0.003) and lower EQ-5D-5L scores (thus, lower quality of life) (Spearman's rho - 0.14, p = 0.001). Patients' age/sex, 6-CIT scores (cognitive status), BMI or PIM use were not correlated with the number of drugs CONCLUSIONS: The prevalence of polypharmacy, PIMs and major DDIs was considerable. Results indicate that physicians should particularly observe their patients with multiple conditions, reduced health and affective status, independently from other patients' characteristics. Careful attention about indication, benefit and potential risk should be paid especially to patients on therapy with specific drug classes identified as potentially inappropriate or prone to major DDIs in older persons (e.g., benzodiazepines, NSAIDs, protonic pump inhibitors, antithrombotics/anticoagulants, antidepressants/antipsychotics) TRIAL REGISTRATION: The cluster-RCT on which this cross-sectional analysis is based was registered with Current Controlled Trials Ltd. (ID ISRCTN: 38449870 ) on 2013-09-11",10.1186/s12877-021-02141-w,1
9513,STEPWISE - STructured lifestyle Education for People WIth SchizophrEnia: a study protocol for a randomised controlled trial,Antipsychotic medication; Behaviour change; Education; First-episode psychosis; Lifestyle; Obesity; Overweight; Schizophrenia,"BACKGROUND: People with schizophrenia are two to three times more likely to be overweight than the general population. The UK National Institute of Health and Care Excellence (NICE) recommends an annual physical health review with signposting to, or provision of, a lifestyle programme to address weight concerns and obesity. The purpose of this randomised controlled trial is to assess whether a group-based structured education programme can help people with schizophrenia to lose weight. METHODS: Design: a randomised controlled trial of a group-based structured education programme. SETTING: 10 UK community mental health trusts PARTICIPANTS: 396 adults with schizophrenia, schizoaffective, or first-episode psychosis who are prescribed antipsychotic medication will be recruited Participants will be overweight, obese or be concerned about their weight INTERVENTION: participants will be randomised to either the intervention or treatment as usual (TAU). The intervention arm will receive TAU plus four 2.5-h weekly sessions of theory-based lifestyle structured group education, with maintenance contact every 2 weeks and 'booster' sessions every 3 months. All participants will receive standardised written information about healthy eating, physical activity, alcohol and smoking. OUTCOMES: the primary outcome is weight (kg) change at 1 year post randomisation. Secondary outcomes, which will be assessed at 3 and 12 months, include: the proportion of participants who maintained or reduced their weight; waist circumference; body mass index; objectively measured physical activity (wrist accelerometer); self-reported diet; blood pressure; fasting plasma glucose, lipid profile and HbA(1c) (baseline and 1 year only); health-related quality of life (EQ-5D-5L and RAND SF-36); (adapted) brief illness perception questionnaire; the Brief Psychiatric Rating Scale; the Client Service Receipt Inventory; medication use; smoking status; adverse events; depression symptoms (Patient Health Questionnaire-9); use of weight-loss programmes; and session feedback (intervention only). Outcome assessors will be blind to trial group allocation. Qualitative interviews with a subsample of facilitators and invention-arm participants will provide data on intervention feasibility and acceptability. Assessment of intervention fidelity will also be performed. DISCUSSION: The STEPWISE trial will provide evidence for the clinical and cost-effectiveness of a tailored intervention, which, if successful, could be implemented rapidly in the NHS. TRIAL REGISTRATION: ISRCTN19447796 , registered on 20 March 2014",10.1186/s13063-016-1572-1,0
9554,Development of the Japanese Core Outcome Measures Index (COMI): cross-cultural adaptation and psychometric validation,Adult; Aged; Back Pain/diagnosis/ethnology; Cross-Cultural Comparison; Female; Humans; Japan/ethnology; Male; Middle Aged; Pain Measurement/methods/standards; Patient Outcome Assessment; Pilot Projects; Psychometrics; Young Adult; Core outcome measures index; Cross cultural adaptation; Degenerative disorders of the lumbar spine; Low back pain; Psychometric validation,"BACKGROUND: The patient-rated Core Outcome Measures Index (COMI) assesses the multidimensional impact of back problems on the sufferer. The brevity and comprehensibility of the tool make it practical for use in clinical and research settings. Although the COMI has been cross-culturally adapted in various languages worldwide, there is currently no Japanese version. The aim of this study was to develop a Japanese version of the COMI by: (1) performing a cross-cultural adaptation of the English version and (2) evaluating the psychometric properties of the Japanese version of the COMI in Japanese volunteers with chronic back problems. METHODS: The English version of the COMI was cross-culturally adapted for the Japanese language using established guidelines. The pre-final version was pilot-tested in five Japanese-speaking patients with low back pain (LBP) and a history of spine surgery. The psychometric properties of the Japanese COMI were tested in a group of 1052 individuals with chronic LBP (LBP ≥3 months), aged 20-69 years, who were recruited through a web-based survey. The psychometric properties that were evaluated included convergent and known-group validity, using the following reference questionnaires: EuroQol 5 Dimension, Roland Morris Disability Questionnaire, Short Form 8™ Health Survey, and the Keele STarT Back Screening Tool. RESULTS: The pre-final version of the cross-culturally adapted Japanese COMI was completed without any major problems of understanding or acceptability For the evaluation of its psychometric properties, tests for convergent validity showed moderate correlations between COMI items and the respective reference questionnaires for symptom-specific well-being [- 0.33--0.48] and disability domains [0.48] and strong correlations (> 0.5) for the other domains and the COMI summary score. The analysis of known-group validity showed a linear trend for the COMI score in relation to prognostic risk (P < 0.001). CONCLUSIONS: The Japanese COMI retained conceptual equivalence to the original using comprehensible and acceptable Japanese expressions. We developed a Japanese version of the COMI that displayed qualities that support its convergent and known-group validity. The availability of a Japanese version of the COMI should allow for improved documentation of the care provided to patients with back problems",10.1186/s12891-018-1986-x,1
9599,Nerve root block versus surgery (NERVES) for the treatment of radicular pain secondary to a prolapsed intervertebral disc herniation: study protocol for a multi-centre randomised controlled trial,"Adolescent; Adult; Aged; Back Pain/diagnosis/etiology/physiopathology/therapy; Clinical Trials, Phase III as Topic; Cost-Benefit Analysis; Disability Evaluation; Diskectomy/adverse effects/economics/methods; Drug Costs; Female; Glucocorticoids/administration & dosage/adverse effects/economics; Humans; Injections, Epidural; Intervertebral Disc Displacement/complications/diagnosis/physiopathology/therapy; Male; Microsurgery/adverse effects/economics/methods; Middle Aged; Multicenter Studies as Topic; Nerve Block/adverse effects/economics/methods; Pain Measurement; Quality of Life; Randomized Controlled Trials as Topic; Recovery of Function; Sciatica/diagnosis/etiology/physiopathology/therapy; Spinal Nerve Roots/drug effects/physiopathology; Time Factors; Treatment Outcome; Triamcinolone/administration & dosage/adverse effects/economics; United Kingdom; Young Adult; Microdiscectomy; Prolapsed intervertebral disc; Randomised controlled trial; Sciatica; Transforaminal epidural steroid injection","BACKGROUND: Sciatica is a common condition reported to affect over 3% of the UK population at any time and is often caused by a prolapsed intervertebral disc (PID). Although the duration and severity of symptoms can vary, pain persisting beyond 6 weeks is unlikely to recover spontaneously and may require investigation and treatment. Currently, there is no specific care pathway for sciatica in the National Health Service (NHS), and no direct comparison exists between surgical microdiscectomy and transforaminal epidural steroid injection (TFESI). The NERVES (NErve Root block VErsus Surgery) trial aims to address this by comparing clinical and cost-effectiveness of surgical microdiscectomy and TFESI to treat sciatica secondary to a PID. METHODS/DESIGN: A total of 163 patients were recruited from NHS out-patient clinics across the UK and randomised to either microdiscectomy or TFESI. Adult patients (aged 16-65 years) with sciatic pain endured for between 6 weeks and 12 months are eligible if their symptoms have not been improved by at least one form of conservative (non-operative) treatment and they are willing to provide consent. Patients will be excluded if they present with neurological deficit or have had previous surgery at the same level. The primary outcome is patient-reported disability measured using the Oswestry Disability Questionnaire (ODQ) score at 18 weeks post randomisation and secondary outcomes include disability and pain scales using numerical pain ratings, modified Roland-Morris and Core Outcome Measures Index at 12-weekly intervals, and patient satisfaction at 54 weeks. Cost-effectiveness and quality of life (QOL) will be assessed using the EQ-5D-5 L and self-report cost data at 12-weekly intervals and Hospital Episode Statistics (HES) data. Adverse event data will be collected. Analysis will follow the principle of intention-to-treat. DISCUSSION: NERVES is the first trial to evaluate the comparative clinical and cost-effectiveness of microdiscectomy to local anaesthetic and steroid administered via TFESI. The results of this research may facilitate the development of an evidence-based treatment strategy for patients with sciatica TRIAL REGISTRATION: ISRCTN, ID: ISRCTN04820368 . Registered on 5 June 2014 EudraCT EudraCT2014-002751-25. Registered on 8 October 2014",10.1186/s13063-018-2677-5,0
10000,Validation of the EuroQol questionnaire in patients with inflammatory bowel disease,"Adolescent; Adult; Aged; Colitis, Ulcerative/psychology; Crohn Disease/psychology; Female; Humans; Male; Middle Aged; Psychometrics; Quality of Life; Reproducibility of Results; Surveys and Questionnaires/standards","OBJECTIVE: The EuroQol EQ-5D is a generic questionnaire for describing and valuing patients' health-related quality of life. The purpose of the study was to analyse the construct validity, criterion validity, test-retest reliability and responsiveness of the EQ-5D in patients with inflammatory bowel disease. METHODS: 152 consecutive patients with inflammatory bowel disease (123 with Crohn's disease and 29 with ulcerative colitis) completed the EQ-5D, the SF-36 and the Inflammatory Bowel Disease Questionnaire (IBDQ). Of the study group, 66 patients filled in the EQ-5D a second time after a 2-week gap, including a transition question. Disease activity was measured by the Crohn's Disease Activity Index (CDAI) and by Rachmilewitz's Clinical Activity Index (CAI). RESULTS: The EQ-5D showed a moderate ceiling effect. Correlation between the EQ-5D visual analogue scale (EQ VAS) score and CDAI/CAI was r = -0.65/r = -0.71 (both P < 0.001) Levels of responses to EQ-5D items and the EQ VAS score were significantly better for patients in remission than for patients with active disease (all P < 0.01) For the total sample, coefficients of correlation between the EQ VAS score and SF-36 and IBDQ scores ranged between 0.37 and 0.73 (all P < 0.0001). When repeated, the EQ-5D was reliable in stable patients (intraclass correlation coefficient for EQ VAS = 0.77, kappa statistic for items 0.39 to 1.00); the EQ VAS was responsive in patients who, in the transition question, indicated an improvement in health state (effect size 0.79). CONCLUSIONS: The EQ-5D is reasonably valid, reliable and responsive in patients with inflammatory bowel disease. It can be used to generate preference-based valuations of health-related quality of life in inflammatory bowel disease",10.1097/00042737-200211000-00008,1
10257,Can we define success criteria for lumbar disc surgery? : estimates for a substantial amount of improvement in core outcome measures,"Disability Evaluation; Diskectomy/standards; Female; Follow-Up Studies; Humans; Intervertebral Disc Displacement/surgery; Laminectomy/standards; Lumbar Vertebrae/surgery; Male; Middle Aged; Outcome Assessment, Health Care/methods; Pain Measurement; Patient Satisfaction; Quality of Life; ROC Curve; Recovery of Function; Surveys and Questionnaires/standards; Treatment Outcome","BACKGROUND AND PURPOSE: A successful outcome after lumbar discectomy indicates a substantial improvement. To use the cutoffs for minimal clinically important difference (MCID) as success criteria has a large potential bias, simply because it is difficult to classify patients who report that they are ""moderately improved"". We propose that the criteria for success should be defined by those who report that they are ""completely recovered"" or ""much better"". METHODS: A cohort of 692 patients were operated for lumbar disc herniation and followed for one year in the Norwegian Registry for Spine Surgery. The global perceived scale of change was used as an external criterion, and success was defined as those who reported that they were ""completely recovered"" or ""much better"". Criteria for success for each of (1) the Oswestry disability index (ODI; score range 0-100 where 0 = no disability), (2) the numerical pain scale (NRS; range 0-10 where 0 = no pain) for back and leg pain, and (3) the Euroqol (EQ-5D; -0.6 to 1 where 1 = perfect health) were estimated by defining the optimal cutoff point on receiver operating characteristic curves. RESULTS: The cutoff values for success for the mean change scores were 20 (ODI), 2.5 (NRS back), 3.5 (NRS leg), and 0.30 (EQ-5D). According to the cutoff estimates, the proportions of successful outcomes were 66% for the ODI and 67% for the NRS leg pain scale. INTERPRETATION: The sensitivity/specificity values for the ODI and leg pain were acceptable, whereas they were very low for the EQ-5D. The cutoffs for success can be used as benchmarks when comparing data from different surgical units",10.3109/17453674.2013.786634,1
10318,Hospital variation in patient-reported outcomes at the level of EQ-5D dimensions: evidence from England,"Data Collection; England; Hospitals, Public; Humans; Models, Theoretical; Outcome Assessment, Health Care; State Medicine; EQ-5D; hierarchical ordered probit; patient-reported outcomes (PRO); performance assessment; provider profiling; quality measurement","BACKGROUND: The English Department of Health has introduced routine collection of patient-reported outcome data for selected surgical procedures to facilitate patient choice and increase hospital accountability. However, using aggregate health outcome scores, such as EQ-5D utilities, for performance assessment purposes causes information loss and raises statistical and normative concerns OBJECTIVES: . For hip replacement surgery, we explore a) the change in patient-reported outcomes between baseline and follow-up on 5 health dimensions (EQ-5D), b) the extent to which treatment impact varies across hospitals, and c) the extent to which hospital performance on EQ-5D dimensions is correlated with performance on the EQ-5D utility index. METHODS: . We combine information on pre- and postoperative EQ-5D outcomes with routine inpatient data for the financial year 2009-2010. The sample consists of 21,000 patients in 153 hospitals. We employ hierarchical ordered probit risk-adjustment models that recognize the multilevel nature of the data and the response distributions. The treatment impact is modeled as a random coefficient that varies at the hospital level. We obtain hospital-specific empirical Bayes (EB) estimates of this coefficient. We estimate separate models for each EQ-5D dimension and the EQ-5D utility index and analyze correlations of EB estimates across these. RESULTS: . Hospital treatment is associated with improvements in all EQ-5D dimensions. Variability in treatment impact is most pronounced on the mobility and usual activities dimensions Conversely, only pain/discomfort and anxiety/depression correlate well with performance measures based on utilities. This leads to different assessments of hospital performance across metrics. CONCLUSIONS: . Our results indicate which hospitals are better than others in improving health across particular EQ-5D dimensions. We demonstrate the importance of evaluating dimensions of the EQ-5D separately for the purposes of hospital performance assessment",10.1177/0272989X13482523,1
10437,The health status of the Dutch population as assessed by the EQ-6D,"Activities of Daily Living; Adult; Age Distribution; Aged; Aged, 80 and over; Female; Health Status; Health Surveys; Humans; Logistic Models; Male; Middle Aged; Netherlands; Population Surveillance/methods; Quality of Life; Sex Distribution; Sickness Impact Profile; Socioeconomic Factors","This study uses the Six-Dimensional EuroQol instrument (EQ-6D) to describe the health status of the Dutch population and investigates sociodemographic differences. The subjects participated in the second Dutch National Survey of General Practice, which was conducted in 2001. Five percent of all listed patients of 104 practices (99% of the Dutch are listed in a general practice) were invited for a health interview. Analyses were prepared for 9685 respondents aged 18 years or more. The EQ-6D is an extended EQ-5D (mobility, self-care, usual activities, pain/discomfort, anxiety/depression) with a cognitive dimension. The EQ-6D construct validity was examined by comparing it with the SF-36, with good results. Most respondents reported no health problems, while 33% reported pain or discomfort. Women and elderly people generally reported more problems; only depression/anxiety was unrelated to age. Educational level was closely related to problems in all dimensions. The cognitive dimension of the EQ-6D, used for the first time in a general population, gave satisfactory results. This paper includes normative data by age and gender for both the EQ-6D and the EQ-5D. We conclude that the EQ-6D is an efficient tool for establishing the health status in the community, so that different population subgroups can be compared",10.1007/s11136-004-1214-z,1
